t,psi
443.0,1.984500383560313e-11
443.5,1.9580945570816724e-11
444.0,1.931876683218281e-11
444.5,1.9059071161069023e-11
445.0,1.880143273730233e-11
445.5,1.8546745724528528e-11
446.0,1.8294071009895917e-11
446.5,1.8044607997337445e-11
447.0,1.7797140293975608e-11
447.5,1.755122423533114e-11
448.0,1.7307701057177868e-11
448.5,1.706673001569633e-11
449.0,1.6828215637823256e-11
449.5,1.6592219127489515e-11
450.0,1.63581191070776e-11
450.5,1.6126546312592642e-11
451.0,1.589646246478349e-11
451.5,1.5669054968026345e-11
452.0,1.5443262483289355e-11
452.5,1.521933287486943e-11
453.0,1.4997139737109384e-11
453.5,1.4777882840374985e-11
454.0,1.456048946062515e-11
454.5,1.4345104921665897e-11
455.0,1.413099305924772e-11
455.5,1.3919409964946028e-11
456.0,1.3709778575206003e-11
456.5,1.3501734271059535e-11
457.0,1.3295774145575158e-11
457.5,1.3092051490025661e-11
458.0,1.2889897136321408e-11
458.5,1.2689558032019062e-11
459.0,1.2490775329939176e-11
459.5,1.2293965824622637e-11
460.0,1.2098522112817847e-11
460.5,1.1905375321141937e-11
461.0,1.1713284455681188e-11
461.5,1.1522772997893779e-11
462.0,1.1334585040772873e-11
462.5,1.1148070683105483e-11
463.0,1.0963012827744867e-11
463.5,1.0779188264099111e-11
464.0,1.0597571990324145e-11
464.5,1.0417370522364376e-11
465.0,1.0239340435080787e-11
465.5,1.006232116082921e-11
466.0,9.887281895608423e-12
466.5,9.713513390587252e-12
467.0,9.54118039360083e-12
467.5,9.370636209040552e-12
468.0,9.20099201748746e-12
468.5,9.033425686049365e-12
469.0,8.867017325707065e-12
469.5,8.702021449142684e-12
470.0,8.538503677928465e-12
470.5,8.376707239118585e-12
471.0,8.216019179682994e-12
471.5,8.056742692099205e-12
472.0,7.899163369294233e-12
472.5,7.742988456468126e-12
473.0,7.58792498594797e-12
473.5,7.43446581930161e-12
474.0,7.282174510071126e-12
474.5,7.131382787365109e-12
475.0,6.981173321179007e-12
475.5,6.832754234357494e-12
476.0,6.686522033789232e-12
476.5,6.540606469907079e-12
477.0,6.396355269403416e-12
477.5,6.253546304884822e-12
478.0,6.111664968231438e-12
478.5,5.970932361927411e-12
479.0,5.831494387625909e-12
